precision,recall
0.7377949982388164,0.6982
0.7399259575679908,0.6928666666666666
0.7403756206375477,0.6859333333333333
0.7425080011638057,0.6805333333333333
0.7440252959776454,0.6745333333333333
0.7455762081784386,0.6685333333333333
0.7460341327719721,0.6615333333333333
0.7474908759124088,0.6554
0.7492117203722218,0.6494666666666666
0.7502722887817022,0.6429333333333334
0.7512790240062968,0.6363333333333333
0.7526282255495381,0.63
0.7546546304505521,0.6242
0.7564855604503181,0.6182
0.7582789660583037,0.6121333333333333
0.7600969980767622,0.606
0.7611346316680779,0.5992666666666666
0.7625418060200669,0.5928
0.7645066018068103,0.5867333333333333
0.7656428760010561,0.58
0.7669876939539861,0.5734
0.7684591052869408,0.5668666666666666
0.7706119457676804,0.5608
0.7729172471440513,0.5548
0.7749105292898851,0.5485333333333333
0.7761008692329735,0.5416666666666666
0.7789728682170542,0.5359333333333334
0.7803559138727756,0.5291333333333333
0.7820794252644183,0.5225333333333333
0.7836523852932239,0.5158
0.7848400699372622,0.5087333333333334
0.7869229162314602,0.5022666666666666
0.7889431239388794,0.49566666666666664
0.7905121293800539,0.4888
0.7915844838921762,0.4816
0.7945861646429765,0.4755333333333333
0.7959900317172632,0.46846666666666664
0.7979029842147712,0.46166666666666667
0.8,0.45493333333333336
0.8019329435628206,0.44806666666666667
0.8043002915451894,0.4414
0.8057411531799059,0.4341333333333333
0.8070086978444473,0.4268
0.808685596813568,0.4196
0.8104532355252816,0.41246666666666665
0.8121325494388028,0.4052
0.8137695978186775,0.3979333333333333
0.8171444475368773,0.3914666666666667
0.8179621998010516,0.3837333333333333
0.8191056910569106,0.3761333333333333
0.8210416975812435,0.3688666666666667
0.8223065250379362,0.3612666666666667
0.8245614035087719,0.35406666666666664
0.8270820089001907,0.3469333333333333
0.8293993162949699,0.3396666666666667
0.830663997330664,0.33193333333333336
0.8306244653550042,0.32366666666666666
0.8330407303370787,0.31633333333333336
0.8348359177785791,0.30866666666666664
0.8374722016308377,0.3012666666666667
0.8391461787688203,0.2935333333333333
0.8415064731267163,0.286
0.8433710590137429,0.2782
0.8449353897457273,0.27026666666666666
0.8468487846848785,0.2624666666666667
0.8486666666666667,0.2546
0.8508388876120432,0.2468
0.8557829604950024,0.23973333333333333
0.857847976307996,0.23173333333333335
0.859851396361773,0.22373333333333334
0.862812999467235,0.21593333333333334
0.8693481276005548,0.20893333333333333
0.8711638679791546,0.2006
0.8726172465960665,0.19226666666666667
0.8738910012674271,0.18386666666666668
0.8749584303292318,0.1754
0.8775367389783065,0.1672
0.8811369509043928,0.15913333333333332
0.8819851504493943,0.15046666666666667
0.8838174273858921,0.142
0.8889871738168952,0.134
0.8920454545454546,0.1256
0.9001528273051452,0.1178
0.9013230429988974,0.109
0.9080528846153846,0.10073333333333333
0.9108910891089109,0.092
0.9105571847507331,0.0828
0.9127572016460905,0.07393333333333334
0.9174484052532833,0.0652
0.9213973799126638,0.056266666666666666
0.9361147327249022,0.04786666666666667
0.9466019417475728,0.039
0.9488272921108742,0.029666666666666668
0.95,0.020266666666666665
0.9532163742690059,0.010866666666666667
1.0,0.0014666666666666667
