run,hour,wet_area_km2,volume_mil_m3,dz_median_m,dz_max_m,dV_dt_m3s,dV_dt_pct_inflow
baseline,61,216.1226,613.4678744392395,0.00617218017578125,1.64337158203125,797.6131173239764,10.173636700560925
baseline,62,217.4043,616.2983387451172,0.00614166259765625,1.509521484375,786.2400849660389,10.028572512321924
baseline,63,218.3129,619.0765632793426,0.0061187744140625,1.2104415893554688,771.7290372848298,9.843482618428952
baseline,64,219.2415,621.8146310424804,0.0059967041015625,1.2450485229492188,760.5743786493867,9.701203809303403
baseline,65,220.2339,624.5062913055419,0.005859375,1.3699264526367188,747.6834064059782,9.536778142933395
baseline,66,221.3869,627.1462380023956,0.005950927734375,1.7034149169921875,733.3185269038091,9.353552639079197
baseline,67,222.5375,629.7305019363404,0.00566864013671875,1.16705322265625,717.8510927624238,9.156263938296222
baseline,68,223.6565,632.2462651508331,0.00555419921875,1.5124053955078125,698.8231151368672,8.913560142051876
baseline,69,225.0842,634.7106561344146,0.00557708740234375,1.5398712158203125,684.5530509948757,8.731544017791782
baseline,70,226.4168,637.1184678840638,0.0054779052734375,1.4293594360351562,668.8365971247537,8.531079044958592
baseline,71,227.9887,639.4749036273956,0.0053558349609375,1.0326004028320312,654.5654842588533,8.349049544118028
baseline,72,229.4298,641.807302260971,0.0053253173828125,1.205963134765625,647.8885093264984,8.263884047531867
baseline,73,230.5425,644.0869735294342,0.00514984130859375,1.169281005859375,633.2420190175488,8.077066569101387
baseline,74,231.4694,646.3307612197876,0.0048828125,1.4416923522949219,623.2743584315081,7.949928041218215
baseline,75,232.2171,648.5338016235352,0.00460052490234375,1.5350418090820312,611.9556677076489,7.80555698606695
baseline,76,233.1452,650.7025836101532,0.004364013671875,1.320831298828125,602.4394407272224,7.684176539888041
baseline,77,233.9998,652.8396067199707,0.00412750244140625,1.4326019287109375,593.6175305048625,7.571652174806919
baseline,78,234.8239,654.9376333862305,0.00395965576171875,1.3945083618164062,582.7851850721623,7.433484503471459
baseline,79,235.8053,657.0091034049988,0.0037078857421875,1.4980087280273438,575.4083385467526,7.339392073300416
baseline,80,236.8269,659.0432392013549,0.00350189208984375,1.3429031372070312,565.0377212100466,7.207113790944472
