run,hour,wet_area_km2,volume_mil_m3,dz_median_m,dz_max_m,dV_dt_m3s,dV_dt_pct_inflow
levees,11,79.4291,306.03645863761903,0.16756439208984375,3.5920181274414062,6572.041527324252,83.82706029750321
levees,12,84.7611,322.05139746780395,0.15647125244140625,2.1874160766601562,4448.59411949581,56.74227193234452
levees,13,91.8829,335.29755284957884,0.13405990600585938,1.972259521484375,3679.487606048579,46.93223987306861
levees,14,97.3453,346.9645398311615,0.10512542724609375,2.8556671142578125,3240.8297171063,41.33711373860077
levees,15,102.079,357.5136708320618,0.0846099853515625,2.9930343627929688,2930.314166916743,37.37645621067274
levees,16,105.0182,367.22528942718503,0.07342529296875,2.4908065795898438,2697.671831978678,34.409079489523954
levees,17,107.0681,376.3253748737335,0.06349945068359375,1.9206466674804688,2527.8015129301284,32.24236623635368
levees,18,108.9349,384.94143906059264,0.05718994140625,1.5185165405273438,2393.35116301643,30.52743830378099
levees,19,111.211,393.18104290657044,0.05438995361328125,2.023651123046875,2288.7788461049436,29.193607730930403
levees,20,114.1492,401.08354877281187,0.0601348876953125,2.832183837890625,2195.1405184003966,27.99924130612751
levees,21,117.3867,408.6702337112427,0.0618133544921875,2.8046951293945312,2107.412482897454,26.88026126144712
levees,22,119.8253,415.89773289642335,0.05517578125,1.89593505859375,2007.6386625501798,25.60763600191556
levees,23,122.0231,422.7633121372223,0.048614501953125,2.3089523315429688,1907.1053446663673,24.325323273805704
levees,24,124.3564,429.2681034385681,0.04736328125,3.2663955688476562,1806.8864725960684,23.047021334133525
levees,25,126.3634,435.4342621002197,0.042022705078125,2.1385040283203125,1712.821850458776,21.84721748034153
levees,26,128.8468,441.2997395774841,0.037994384765625,2.2343063354492188,1629.299299240109,20.781878816838123
levees,27,131.6373,446.9233988887787,0.03436279296875,2.3819198608398438,1562.127586470723,19.9250967662082
levees,28,133.9209,452.298105185318,0.02978515625,3.2155685424804688,1492.9739712609091,19.04303534771568
levees,29,136.6036,457.47362882804873,0.027557373046875,2.1932601928710938,1437.6454563140978,18.337314493802268
levees,30,139.0677,462.45658282966616,0.02521514892578125,1.6169815063476562,1384.1538893381746,17.655024098701208
levees,31,141.5469,467.25597167053223,0.02315521240234375,2.0215072631835938,1333.1635669072423,17.004637333000538
levees,32,144.1582,471.9052013572693,0.0211181640625,2.20806884765625,1291.45269076029,16.472610851534313
levees,33,146.2281,476.40381981697084,0.01900482177734375,1.8354568481445312,1249.616238805989,15.938982637831492
